Group,Nominal_6PPDQ_ng_L,Exposure_Hour,Measured_6PPDQ_ng_L,C_C0
Voights_Fry,1000,0,1600,1.000
Voights_Fry,562,0,610,1.000
Voights_Fry,316,0,360,1.000
Voights_Fry,178,0,200,1.000
Voights_Fry,100,0,140,1.000
Voights_Fry,1000,24,560,0.350
Voights_Fry,562,24,390,0.639
Voights_Fry,316,24,170,0.472
Voights_Fry,178,24,68,0.340
Voights_Fry,100,24,42,0.300
Voights_Alevin,1000,0,1100,1.000
Voights_Alevin,562,0,700,1.000
Voights_Alevin,316,0,330,1.000
Voights_Alevin,178,0,190,1.000
Voights_Alevin,100,0,120,1.000
Voights_Alevin,1000,24,170,0.155
Voights_Alevin,562,24,190,0.271
Voights_Alevin,316,24,76,0.230
Voights_Alevin,178,24,58,0.305
Voights_Alevin,100,24,24,0.200
Voights_Parr,90,0,101,1.000
Voights_Parr,80,0,93,1.000
Voights_Parr,71,0,82,1.000
Voights_Parr,64,0,76,1.000
Voights_Parr,57,0,64,1.000
Voights_Parr,51,0,50,1.000
Voights_Parr,45,0,53,1.000
Voights_Parr,90,2,96,0.950
Voights_Parr,80,2,91,0.969
Voights_Parr,71,2,78,0.958
Voights_Parr,64,2,72,0.954
Voights_Parr,57,2,61,0.957
Voights_Parr,51,2,53,1.049
Voights_Parr,45,2,49,0.921
Voights_Parr,90,24,81,0.800
Voights_Parr,80,24,75,0.804
Voights_Parr,71,24,62,0.762
Voights_Parr,64,24,55,0.728
Voights_Parr,57,24,47,0.727
Voights_Parr,51,24,42,0.840
Voights_Parr,45,24,37,0.694
Bingham_Alevin,1000,0,1400,1.000
Bingham_Alevin,562,0,880,1.000
Bingham_Alevin,316,0,430,1.000
Bingham_Alevin,178,0,270,1.000
Bingham_Alevin,100,0,110,1.000
Bingham_Alevin,1000,24,299,0.214
Bingham_Alevin,562,24,276,0.314
Bingham_Alevin,316,24,79,0.184
Bingham_Alevin,178,24,63,0.233
Bingham_Alevin,100,24,25,0.227
Clark_Adult,123,0,81,1.000
Clark_Adult,89,0,61,1.000
Clark_Adult,53,0,46,1.000
Clark_Adult,41,0,32,1.000
Clark_Adult,300,0,180,1.000
Clark_Adult,208,0,120,1.000
Clark_Adult,144,0,79,1.000
Clark_Adult,100,0,57,1.000
Clark_Adult,400,0,250,1.000
Clark_Adult,318,0,220,1.000
Clark_Adult,252,0,150,1.000
Clark_Adult,200,0,120,1.000
Clark_Adult,500,0,320,1.000
Clark_Adult,368,0,210,1.000
Clark_Adult,271,0,130,1.000
Clark_Adult,200,0,63,1.000
Clark_Adult,123,8,17,0.210
Clark_Adult,89,8,15,0.246
Clark_Adult,53,8,7,0.148
Clark_Adult,41,8,8,0.234
Clark_Adult,300,9,51,0.281
Clark_Adult,208,9,24,0.200
Clark_Adult,144,9,15,0.192
Clark_Adult,100,9,10,0.175
Clark_Adult,400,10,63,0.250
Clark_Adult,318,10,40,0.183
Clark_Adult,252,10,25,0.165
Clark_Adult,200,10,11,0.089
Clark_Adult,500,11,128,0.400
Clark_Adult,368,11,37,0.177
Clark_Adult,271,11,19,0.147
Clark_Adult,200,11,7,0.108
Clark_Adult,500,20,20,0.062
Clark_Adult,368,20,20,0.097
Clark_Adult,271,20,5,0.038
Clark_Adult,200,20,3,0.055
Clark_Adult,123,24,4,0.043
Clark_Adult,89,24,4,0.070
Clark_Adult,53,24,0,0.038
Clark_Adult,41,24,0,0.055
Clark_Adult,300,24,22,0.122
Clark_Adult,208,24,9,0.075
Clark_Adult,144,24,4,0.049
Clark_Adult,100,24,0,0.031
Clark_Adult,400,24,75,0.300
Clark_Adult,318,24,23,0.105
Clark_Adult,252,24,8,0.051
Clark_Adult,200,24,6,0.050
Clark_Adult,500,24,68,0.213
Clark_Adult,368,24,25,0.119
Clark_Adult,271,24,11,0.059
Clark_Adult,200,24,5,0.083
