Treatment,Replicate,Eye_Area_sq_mm,Yolk_Area_sq_mm,Length_mm,Developmental_Stage,Days_Post_Fertilization
6PPDQ,1,1.23,57.45,14.67,28,34
6PPDQ,1,1.14,51.40,14.06,28,34
6PPDQ,1,0.94,42.55,14.52,28,34
6PPDQ,1,1.14,52.41,15.77,28,34
6PPDQ,1,1.24,43.40,16.08,28,34
6PPDQ,2,1.46,58.50,15.60,28,34
6PPDQ,2,1.16,45.66,15.40,28,34
6PPDQ,2,1.25,43.19,14.61,28,34
6PPDQ,2,1.13,57.48,15.40,28,34
6PPDQ,2,0.98,46.80,14.10,26,34
6PPDQ,3,1.01,49.40,14.10,27,34
6PPDQ,3,0.89,44.14,13.92,28,34
6PPDQ,3,0.99,43.62,14.27,28,34
6PPDQ,3,1.07,62.10,15.23,27,34
6PPDQ,3,1.14,53.92,13.99,28,34
6PPDQ,4,1.05,46.03,13.48,27,34
6PPDQ,4,1.26,65.19,14.51,28,34
6PPDQ,4,1.14,55.46,14.45,28,34
6PPDQ,4,1.15,68.54,14.33,28,34
6PPDQ,4,1.20,44.68,13.91,28,34
6PPDQ,5,1.01,48.47,14.78,28,34
6PPDQ,5,1.29,46.67,14.94,28,34
6PPDQ,5,0.98,48.75,13.44,27,34
6PPDQ,5,1.07,45.76,14.68,27,34
6PPDQ,5,1.17,61.87,14.43,28,34
6PPDQ,6,1.20,63.51,14.48,28,34
6PPDQ,6,1.22,60.94,14.72,28,34
6PPDQ,6,1.22,47.55,14.65,28,34
6PPDQ,6,0.99,59.62,13.78,28,34
6PPDQ,6,1.04,48.69,13.48,28,34
Control,1,1.05,59.78,14.57,28,34
Control,1,1.21,57.73,15.27,28,34
Control,1,1.16,43.08,14.08,28,34
Control,1,1.37,59.48,14.98,29,34
Control,1,1.10,40.92,14.64,27,34
Control,2,1.32,60.28,14.83,28,34
Control,2,1.30,60.82,15.06,28,34
Control,2,1.17,48.50,13.91,28,34
Control,2,1.30,58.43,15.50,27,34
Control,2,1.08,58.90,14.66,27,34
Control,3,1.32,45.02,14.73,27,34
Control,3,1.36,64.52,15.28,28,34
Control,3,1.34,58.98,15.28,28,34
Control,3,1.23,50.35,14.19,28,34
Control,3,1.31,57.51,15.99,28,34
Control,4,1.31,45.24,14.53,28,34
Control,4,1.00,55.40,13.60,28,34
Control,4,1.37,49.98,14.92,28,34
Control,4,1.27,59.88,14.94,28,34
Control,4,1.11,43.98,14.26,28,34
Control,5,1.33,64.20,15.64,28,34
Control,5,1.25,50.49,15.27,28,34
Control,5,1.38,54.71,14.96,28,34
Control,5,1.12,55.18,14.28,28,34
Control,5,1.04,61.79,14.93,28,34
Control,6,1.32,71.34,15.25,28,34
Control,6,1.22,52.95,15.21,28,34
Control,6,1.17,48.36,14.66,28,34
