Treatment,Replicate,Days_Post_Fertilization,Outcome
Control,1,2,1
Control,1,33,1
Control,1,33,1
Control,1,33,1
Control,1,33,1
Control,1,33,1
6PPDQ,1,34,0
6PPDQ,1,34,0
6PPDQ,1,34,0
6PPDQ,1,34,0
6PPDQ,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
Control,1,34,0
6PPDQ,1,41,0
6PPDQ,1,41,0
6PPDQ,1,41,0
6PPDQ,1,41,0
6PPDQ,1,41,0
Control,1,41,0
Control,1,41,0
Control,1,41,0
Control,1,41,0
Control,1,41,0
6PPDQ,1,46,1
6PPDQ,1,46,1
6PPDQ,1,46,1
6PPDQ,1,46,1
6PPDQ,1,46,1
Control,1,47,1
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
6PPDQ,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
Control,1,48,0
6PPDQ,1,49,1
6PPDQ,1,49,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,50,1
6PPDQ,1,53,1
Control,1,54,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,55,1
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
6PPDQ,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
Control,1,56,0
6PPDQ,2,2,1
6PPDQ,2,7,1
Control,2,9,1
Control,2,27,1
6PPDQ,2,34,0
6PPDQ,2,34,0
6PPDQ,2,34,0
6PPDQ,2,34,0
6PPDQ,2,34,0
6PPDQ,2,34,0
Control,2,34,0
Control,2,34,0
Control,2,34,0
Control,2,34,0
Control,2,34,0
Control,2,34,0
6PPDQ,2,41,0
6PPDQ,2,41,0
6PPDQ,2,41,0
6PPDQ,2,41,0
6PPDQ,2,41,0
Control,2,41,0
Control,2,41,0
Control,2,41,0
Control,2,41,0
Control,2,41,0
6PPDQ,2,47,1
6PPDQ,2,47,1
6PPDQ,2,47,1
6PPDQ,2,47,1
6PPDQ,2,47,1
6PPDQ,2,47,1
6PPDQ,2,47,1
Control,2,47,1
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
6PPDQ,2,48,0
Control,2,48,0
Control,2,48,0
Control,2,48,0
Control,2,48,0
